,time,ground_force1_pt1y,ground_force1_pt1x,ground_force2_pt1y,ground_force2_pt1x,ground_force1_pt2x,ground_force1_pt2y,ground_force1_pt2z,ground_force2_pt2x,ground_force2_pt2y,ground_force2_pt2z
27,0.027,0.341316,-1.098884,0.355132,-0.746637,37.27975190219535,3.300087419541278,455.43980165174617,-41.69115813001488,-0.672514553644652,433.9624655892745
28,0.028,0.341036,-1.099591,0.354911,-0.744622,37.25907604261951,3.3000258194088308,455.5252056136417,-41.68954421660487,-0.6315258991656284,433.986490148285
29,0.029,0.341449,-1.098177,0.354842,-0.745269,37.240385982230734,3.300432048540472,455.6099463480252,-41.69026652887869,-0.5900383296416064,434.008575385913
30,0.03,0.341707,-1.09756,0.35525,-0.745725,37.22076976206504,3.300457856394231,455.69397166172655,-41.69046729468682,-0.5477341688262141,434.0286707790431
31,0.031,0.341492,-1.096797,0.354652,-0.745774,37.201176506318575,3.299785306822519,455.7772292263904,-41.689925878232046,-0.5061039029100163,434.0467264484428
32,0.032,0.341172,-1.097543,0.355057,-0.745755,37.17995741809083,3.2987827852763356,455.8596666095422,-41.68897678356438,-0.46314617845036593,434.0626932044452
33,0.033,0.341615,-1.097812,0.354625,-0.746352,37.1591047750596,3.2983190057950886,455.9412313056865,-41.68829965798416,-0.42070880025597307,434.0765225923727
34,0.034,0.341092,-1.098052,0.354945,-0.745143,37.13817692509163,3.2966660177707645,456.0218707674095,-41.685468295350105,-0.3772107292249824,434.0881669376428
35,0.035,0.341237,-1.098547,0.354564,-0.745612,37.11689628179188,3.2954592124750426,456.10153243645954,-41.68396263928857,-0.33411308013536656,434.0975793904999
36,0.036,0.341594,-1.097747,0.354856,-0.744872,37.09681931999522,3.2942443293377526,456.1801637747791,-41.68089178630078,-0.2900501193864518,434.1047139703131
37,0.037,0.341682,-1.098334,0.354522,-0.743812,37.07527057120356,3.2925424619649704,456.25771229545865,-41.67714098876489,-0.24632926269032251,434.1095256093812
38,0.038,0.341161,-1.099013,0.355304,-0.74603,37.05355161897209,3.2900160638849965,456.33412559358686,-41.676304657829945,-0.20121707271172234,434.1119701961845
39,0.039,0.340954,-1.098941,0.354118,-0.74423,37.032512094247764,3.2875909540104766,456.4093513769701,-41.671083366199085,-0.15780625665489573,434.1120046180234
40,0.04,0.340993,-1.099239,0.354471,-0.74412,37.011037670663704,3.28520232180494,456.48333749669655,-41.66718185079917,-0.11259866379564754,434.10958680298296
41,0.041,0.340984,-1.099034,0.354663,-0.745517,36.99000805979258,3.282559732142062,456.5560319775207,-41.664414015334366,-0.06730328295674148,434.1046757611648
42,0.042,0.340915,-1.098529,0.354419,-0.745382,36.96922700636235,3.279655129846077,456.6273830480454,-41.6597379327206,-0.022204239924609792,434.0972316251263
43,0.043,0.341088,-1.099003,0.35449,-0.745004,36.94742228343725,3.276794843901923,456.6973391706821,-41.654439847398045,0.02344020519477852,434.0872156894708
44,0.044,0.341515,-1.098452,0.353984,-0.745349,36.92660468756695,3.273995591323972,456.7658490713698,-41.64948317751883,0.06872866068313743,434.0745904495302
45,0.045,0.341514,-1.098202,0.355163,-0.744913,36.905455033906335,3.2705804806725065,456.8328617690368,-41.64336151700709,0.11591360598247022,434.0593196390853
46,0.046,0.341417,-1.098169,0.353956,-0.745989,36.88406415130853,3.266887015207441,456.8983266047916,-41.63836563748836,0.1609143945354026,434.0413682670668
47,0.047,0.341137,-1.097767,0.354744,-0.74564,36.86302487739345,3.2628340956691364,456.9621932708304,-41.63155649008603,0.2081022566956538,434.02070265318224
48,0.048,0.341319,-1.097777,0.353661,-0.743509,36.84156305359462,3.2590730226765183,457.0244118390479,-41.622575207082036,0.2536013027111468,433.9972904624154
49,0.049,0.340679,-1.098303,0.354215,-0.74522,36.81958152018684,3.254326498733103,457.0849327893432,-41.61704410343966,0.300909525782364,433.971100738344
50,0.05,0.341059,-1.097958,0.354643,-0.744705,36.798474111297324,3.2504436298318096,457.14370703760926,-41.60889367818575,0.348253805198601,433.9421039352261
51,0.051,0.342025,-1.096567,0.354053,-0.745375,36.77842264990327,3.2469979266498736,457.20068596339735,-41.60153361565041,0.39473190955475873,433.9102719488024
52,0.052,0.340826,-1.097478,0.354366,-0.746336,36.7560859428186,3.241246305325535,457.25582143724887,-41.594068786561785,0.4422545000512344,433.8755781457676
53,0.053,0.341012,-1.097592,0.353846,-0.744754,36.73456977567279,3.236747087808649,457.3090658476872,-41.583664248993976,0.4890751338793654,433.8379973918634
54,0.054,0.340819,-1.09798,0.35449,-0.744965,36.71280990788493,3.231745001777801,457.3603721278632,-41.57465524916616,0.5371802676947723,433.7975060785448
